City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
675,Dengzhou,CN,80.55,37.8086,120.7508,Greentree Inn Penglai Free Harbor Business Hotel
677,Conde,BR,72.86,-7.2597,-34.9075,Pousada Beija Flor
678,Anadyr,RU,57.7,64.75,177.4833,Отке17.ру — жильё для командированных
679,Tanout,NE,77.79,14.9709,8.8879,
680,Segou,ML,75.25,13.4317,-6.2157,Comme chez soi
681,Tutin,RS,61.39,42.9903,20.3314,Hotel Ideal
683,Goderich,CA,66.9,43.7501,-81.7165,Harmony Inn
684,Ustka,PL,61.65,54.5805,16.8619,Hotel Royal Baltic Luxury Boutique
685,Puerto Baquerizo Moreno,EC,69.66,-0.9,-89.6,Hotel los Algarrobos
686,Adrar,MR,84.49,20.5022,-10.0711,
688,Ambovombe,MG,73.2,-25.1667,46.0833,RELAHARA
689,Stornoway,GB,52.03,58.2093,-6.3865,Caladh Inn
690,Wagar,SD,83.23,16.1525,36.2032,
691,Ramona,US,74.86,33.0417,-116.8681,Ramona Terrace Community
